记忆石	1073741881	0	0	324	272
记忆石	1073741881	1	0	324	272
记忆石	1073741881	2	0	324	272
记忆石	1073741881	3	0	324	272
记忆石	1073741881	4	0	324	272
记忆石	1073741881	5	0	324	272
记忆石	6460529	0	D10051	176	88
记忆石	6614482	0	H010	332	327
记忆石	6614482	1	H010	47	64
记忆石	6614482	2	H009	15	124
记忆石	6842334	0	DH04	42	20
记忆石	6842334	1	H204	80	74
记忆石	6842334	2	T219	47	75
记忆石	6842334	3	T315	148	138
记忆石	6843988	0	D2079	45	47
记忆石	6843988	1	D10061	26	19
记忆石	6858217	0	D10062	23	18
记忆石	6858217	1	T315	148	138
记忆石	6858217	2	H010	342	29
记忆石	6858219	0	D10062	23	18
记忆石	6859324	0	D10062	23	18
记忆石	6859325	0	D10062	23	18
记忆石	6859325	1	T315	148	138
记忆石	6860456	0	D10062	23	18
记忆石	6860458	0	D10062	23	18
记忆石	6860458	1	H010	342	29
记忆石	6860458	2	DH04	33	29
记忆石	6860459	0	D10062	23	18
记忆石	6860459	1	T219	56	78
记忆石	6860459	2	D2079	55	39
记忆石	6860459	3	H010	342	29
记忆石	6860466	0	D10062	23	18
记忆石	6861089	0	H204	51	16
记忆石	6861089	1	H010	159	161
记忆石	6861089	2	H010	342	29
记忆石	6862018	0	D10062	23	18
记忆石	6862022	0	D10062	23	18
记忆石	6862022	1	D2079	55	39
记忆石	6862022	2	H010	342	29
记忆石	6862022	3	T315	148	138
记忆石	6862022	4	H010	342	29
记忆石	6862022	5	H009	192	15
记忆石	6862025	0	D10062	23	18
记忆石	6862026	0	D10062	23	18
记忆石	6862026	1	H010	342	29
记忆石	6862028	0	D10062	23	18
记忆石	6862029	0	D10062	23	18
记忆石	6862030	0	D10062	23	18
记忆石	6862032	0	D10062	23	18
记忆石	6862032	1	H010	342	29
记忆石	6872688	0	D10062	23	18
记忆石	6872688	1	D10061	26	19
记忆石	6872689	0	D10062	23	18
记忆石	6872689	1	D10061	26	19
记忆石	6872690	0	D10062	23	18
记忆石	6872690	1	D10061	26	19
记忆石	6872690	2	T315	148	138
记忆石	6872690	3	H010	342	29
记忆石	6909406	0	D10062	23	18
记忆石	6909406	1	D10061	26	19
记忆石	6909407	0	D10062	23	18
记忆石	6909407	1	D10061	26	19
记忆石	6911268	0	D10061	26	19
记忆石	6911268	1	H204	43	48
记忆石	6911309	0	D10061	26	19
记忆石	6911310	0	D10061	26	19
记忆石	6911311	0	D10061	26	19
记忆石	6911312	0	D10061	26	19
记忆石	6911835	0	T315	148	138
记忆石	6911835	1	H010	342	29
记忆石	6911835	2	D2079	55	47
记忆石	6911836	0	T315	148	138
记忆石	6911836	1	H010	342	29
记忆石	6911836	2	D2079	55	47
记忆石	6913221	0	D10062	23	18
记忆石	6913221	1	H010	342	29
记忆石	6921449	0	D10061	26	19
记忆石	6921449	1	D2079	61	45
记忆石	6921450	0	D10061	26	19
记忆石	6921450	1	H009	192	15
记忆石	6921450	2	T315	151	137
记忆石	6921450	3	DH04	29	45
记忆石	6921450	4	D515	29	15
记忆石	6922848	0	H010	268	268
记忆石	6922848	1	H009	192	15
记忆石	6923560	0	D10062	23	18
记忆石	6923560	1	D10061	26	19
记忆石	6944710	0	D10061	26	19
记忆石	6944710	1	H009	192	15
记忆石	6944710	2	DH04	29	45
记忆石	6944710	3	D515	29	15
记忆石	6951499	0	H006	55	77
记忆石	6951499	1	H009	283	148
记忆石	6957312	0	D10062	23	18
记忆石	6962697	0	D10062	23	18
记忆石	6962697	1	D10061	26	19
记忆石	6962697	2	0151	15	10
记忆石	6963656	0	0151	15	10
记忆石	6963656	1	D10062	23	18
记忆石	6964936	0	T1061	23	26
记忆石	6964936	1	D2078	253	253
记忆石	6964936	2	D10062	23	18
记忆石	6965091	0	0151	15	10
记忆石	6965091	1	D10061	26	19
记忆石	6967600	0	D10061	26	19
记忆石	6967600	1	D2079	53	49
记忆石	6967600	2	T315	149	135
记忆石	6967600	3	H010	342	29
记忆石	6967601	0	D10061	26	19
记忆石	6967601	1	T315	149	135
记忆石	6967601	2	H010	342	29
记忆石	6973341	0	D10062	23	18
记忆石	6973342	0	D10062	23	18
记忆石	7068943	0	H006	27	73
