;比奇
;比奇省,330,270,比奇城,$33FFFF,0
比奇省,351,181,比奇皇宫,$33FFFF,0
比奇省,154,21,半兽人古墓,$33FFFF,0
比奇省,322,49,沃玛森林,$33FFFF,0
比奇省,668,96,毒蛇山谷,$33FFFF,0
比奇省,294,613,边界村,$33FFFF,0
比奇省,644,621,银杏山谷,$33FFFF,0
比奇省,46,115,天然洞穴,$33FFFF,0
比奇省,663,220,比奇矿区,$33FFFF,0
;比奇省,427,474,地狱烈焰,$33FFFF,0
;比奇省,317,651,石原,$33FFFF,0

;比奇省,341,297,武器店,$7BBDCE,1
;比奇省,311,301,服装店,$7BBDCE,1
;比奇省,301,275,首饰店,$7BBDCE,1
;比奇省,392,220,武馆,$7BBDCE,1
;比奇省,378,299,杂货铺,$7BBDCE,1
;比奇省,327,283,药店,$7BBDCE,1
;比奇省,298,244,仓库,$7BBDCE,1
;比奇省,324,242,书店,$7BBDCE,1
;比奇省,415,237,竞技场,$7BBDCE,1
;比奇省,314,272,肉店,$7BBDCE,1
;比奇省,330,270,比奇城,$33FFFF,1
比奇省,351,181,比奇皇宫,$33FFFF,1
比奇省,154,21,半兽人古墓,$33FFFF,1
比奇省,322,49,沃玛森林,$33FFFF,1
比奇省,668,96,毒蛇山谷,$33FFFF,1
比奇省,294,613,边界村,$33FFFF,1
比奇省,644,621,银杏山谷,$33FFFF,1
比奇省,46,115,天然洞穴,$33FFFF,1
比奇省,663,220,比奇矿区,$33FFFF,1
;比奇省,427,474,地狱烈焰,$33FFFF,1
;比奇省,317,651,石原,$33FFFF,1

;银杏山谷
;比奇省,648,591,肉店,$7BBDCE,1
;比奇省,642,601,服装店,$7BBDCE,1
;比奇省,649,602,武器店,$7BBDCE,1
;比奇省,642,611,杂货铺,$7BBDCE,1
;比奇省,649,617,药店,$7BBDCE,1
;比奇省,619,642,仓库,$7BBDCE,1

;边界村
;比奇省,290,610,药店,$7BBDCE,1
;比奇省,292,603,肉店,$7BBDCE,1	
;比奇省,298,614,武器店,$7BBDCE,1	
;比奇省,303,608,服装店,$7BBDCE,1
;比奇省,308,618,首饰店,$7BBDCE,1	
;比奇省,283,636,书店,$7BBDCE,1
;比奇省,306,628,仓库,$7BBDCE,1

;半兽人古墓
半兽人古墓一层,149,364,比奇省,$33FFFF,0
半兽人古墓一层,30,328,半兽人古墓二层,$33FFFF,0
半兽人古墓一层,381,23,半兽人古墓二层,$33FFFF,0
半兽人古墓一层,350,356,半兽人古墓二层,$33FFFF,0

半兽人古墓一层,149,364,比奇省,$33FFFF,1
半兽人古墓一层,30,328,半兽人古墓二层,$33FFFF,1
半兽人古墓一层,381,23,半兽人古墓二层,$33FFFF,1
半兽人古墓一层,350,356,半兽人古墓二层,$33FFFF,1

半兽人古墓二层,34,322,半兽人古墓一层,$33FFFF,0
半兽人古墓二层,324,15,半兽人古墓一层,$33FFFF,0
半兽人古墓二层,367,350,半兽人古墓一层,$33FFFF,0
半兽人古墓二层,225,175,国王陵墓,$33FFFF,0
半兽人古墓二层,191,231,商店,$33FFFF,0
半兽人古墓二层,117,95,半兽人古墓三层,$33FFFF,0

半兽人古墓二层,34,322,半兽人古墓一层,$33FFFF,1
半兽人古墓二层,324,15,半兽人古墓一层,$33FFFF,1
半兽人古墓二层,367,350,半兽人古墓一层,$33FFFF,1
半兽人古墓二层,225,175,国王陵墓,$33FFFF,1
半兽人古墓二层,191,231,商店,$33FFFF,1
半兽人古墓二层,117,95,半兽人古墓三层,$33FFFF,1

半兽人古墓三层,106,82,半兽人古墓二层,$33FFFF,0
半兽人古墓三层,78,229,沃玛自然洞穴,$33FFFF,0
半兽人古墓三层,290,293,连接通道,$33FFFF,0

半兽人古墓三层,106,82,半兽人古墓二层,$33FFFF,1
半兽人古墓三层,78,229,沃玛自然洞穴,$33FFFF,1
半兽人古墓三层,290,293,连接通道,$33FFFF,1

;沃玛自然洞穴
沃玛自然洞穴一层,8,13,半兽人古墓,$33FFFF,0
沃玛自然洞穴一层,85,15,沃玛自然洞穴二层,$33FFFF,0

沃玛自然洞穴一层,8,13,半兽人古墓,$33FFFF,1
沃玛自然洞穴一层,85,15,沃玛自然洞穴二层,$33FFFF,1

沃玛自然洞穴二层,84,9,沃玛自然洞穴一层,$33FFFF,0
沃玛自然洞穴二层,36,81,天然洞穴,$33FFFF,0

沃玛自然洞穴二层,84,9,沃玛自然洞穴一层,$33FFFF,1
沃玛自然洞穴二层,36,81,天然洞穴,$33FFFF,1

;天然洞穴
